BTC;['Bitcoin', 'f59119']
ETH;['Ethereum', '646991']
USDT;['Tether', '05aa82']
BNB;['BNB', 'f0b90a']
USDC;['USD Coin', '2873c8']
SOL;['Solana', '190a28']
XRP;['XRP', 'fafafa']
LUNA;['Terra', '192850']
ADA;['Cardano', '3778d2']
AVAX;['Avalanche', 'e64141']
DOT;['Polkadot', 'e60078']
DOGE;['Dogecoin', 'b9a032']
BUSD;['Binance USD', 'f0b90a']
UST;['TerraUSD', '5591f5']
SHIB;['Shiba Inu', 'ffa50a']
WBTC;['Wrapped Bitcoin', 'f5f5f5']
CRO;['Cronos', '001e41']
NEAR;['NEAR Protocol', '000000']
STETH;['Lido Staked Ether', 'f5f5fa']
MATIC;['Polygon', '8246e6']
DAI;['Dai', 'faaf19']
LTC;['Litecoin', '828282']
ATOM;['Cosmos Hub', '2d3246']
LINK;['Chainlink', '285adc']
TRX;['TRON', 'c33228']
FTT;['FTX Token', '5fc8dc']
BCH;['Bitcoin Cash', '0ac38c']
ETC;['Ethereum Classic', '3cb93c']
LEO;['LEO Token', '0f051e']
ALGO;['Algorand', '050505']
OKB;['OKB', '555555']
XLM;['Stellar', '000000']
UNI;['Uniswap', 'fff5fa']
VET;['VeChain', '14beff']
XMR;['Monero', 'f06923']
HBAR;['Hedera', 'a0a0a0']
FIL;['Filecoin', '0091ff']
ICP;['Internet Computer', '28aae1']
AXS;['Axie Infinity', '001469']
EGLD;['Elrond', '141414']
MANA;['Decentraland', 'ff2d55']
THETA;['Theta Network', 'cdf0f5']
SAND;['The Sandbox', '00aff0']
CETH;['cETH', 'fffaff']
APE;['ApeCoin', '050000']
FTM;['Fantom', '23b4eb']
KLAY;['Klaytn', 'fffaff']
XTZ;['Tezos', '2d7df5']
RUNE;['THORChain', '0fdce1']
MIM;['Magic Internet Money', '5550ff']
GRT;['The Graph', '4628a5']
FRAX;['Frax', '000000']
AAVE;['Aave', '559bb9']
WAVES;['Waves', '0055ff']
CAKE;['PancakeSwap', 'd28750']
EOS;['EOS', '828282']
DFI;['DeFiChain', 'ff00af']
OSMO;['Osmosis', 'aa91cd']
FLOW;['Flow', '00f08c']
HNT;['Helium', '464bff']
ZEC;['Zcash', '05050a']
MIOTA;['IOTA', '141e37']
CUSDC;['cUSDC', '0a0a0a']
CVX;['Convex Finance', '373737']
XEC;['eCash', '0073c3']
TFUEL;['Theta Fuel', 'ff690f']
MKR;['Maker', '19aa9b']
BTT;['BitTorrent', '000000']
FXS;['Frax Share', '000000']
ZIL;['Zilliqa', '4bc3be']
AR;['Arweave', 'fafafa']
HBTC;['Huobi BTC', 'fa9b28']
QNT;['Quant', 'fafafa']
GALA;['Gala', '000000']
BSV;['Bitcoin SV', 'e6b423']
CDAI;['cDAI', '9669eb']
ENJ;['Enjin Coin', '00fff5']
KSM;['Kusama', '050505']
NEO;['NEO', '00e69b']
ONE;['Harmony', '4be1cd']
CELO;['Celo', 'facd5a']
KCS;['KuCoin Token', '23af91']
HT;['Huobi Token', '1e2341']
NEXO;['NEXO', '3755c3']
XRD;['Radix', '052dbe']
MINA;['Mina Protocol', '826ef0']
GMT;['STEPN', '463c2d']
TUSD;['TrueUSD', '195aff']
STX;['Stacks', '5546ff']
HEART;['Humans.ai', 'f0f0f0']
CHZ;['Chiliz', 'af0528']
CEL;['Celsius Network', 'f59137']
LRC;['Loopring', '1e5fff']
DASH;['Dash', '008ce1']
AMP;['Amp', 'd72d78']
BAT;['Basic Attention Token', 'ff5000']
SNX;['Synthetix Network Token', '140550']
BIT;['BitDAO', 'faffff']
LDO;['Lido DAO', 'eb827d']
KDA;['Kadena', 'fffaff']
USD;['USD', '72bd39']